,name,school_rating,size,reduced_lunch,state_percentile_16,state_percentile_15,stu_teach_ratio,school_type,avg_score_15,avg_score_16,full_time_teachers,percent_black,percent_white,percent_asian,percent_hispanic
46,Columbia Central High School,2.0,1372.0,54.0,44.0,26.1,14.9,Public,37.4,44.3,92.0,31.0,58.0,0.9,9.5
47,Crieve Hall Elementary,5.0,413.0,45.0,92.7,85.5,15.8,Public,77.6,88.2,26.0,10.2,54.0,11.4,21.8
48,Crockett Elementary,5.0,838.0,2.0,98.7,98.3,17.4,Public,93.9,96.5,48.0,3.6,83.1,6.1,3.0
49,Croft Middle,2.0,723.0,74.0,32.0,30.5,18.5,Public Magnet,39.6,37.9,39.0,22.0,39.4,6.2,32.1
50,Cumberland Elementary,0.0,456.0,91.0,1.5,4.4,14.7,Public,8.8,4.8,31.0,79.6,8.8,0.2,8.6
51,Cumberland Heights Elementary,4.0,676.0,54.0,84.4,76.6,14.6,Public,69.4,79.0,46.0,5.6,83.3,0.3,4.6
52,Dan Mills Elementary,3.0,542.0,54.0,58.6,31.0,13.8,Public,39.0,56.1,39.0,23.8,65.3,2.2,5.7
53,Dickson County High School,3.0,1467.0,47.0,63.8,44.1,18.3,Public,49.1,57.8,80.0,9.0,84.3,0.9,4.2
54,Dickson Elementary,2.0,370.0,65.0,40.3,41.0,14.2,Public,45.2,43.8,26.0,7.8,72.2,1.1,15.7
55,Dickson Middle School,4.0,1203.0,54.0,70.6,81.6,16.9,Public,72.0,65.1,71.0,9.7,82.3,0.7,5.6
56,Discovery School,5.0,411.0,8.0,99.6,99.8,15.2,Public Magnet,96.0,98.2,27.0,4.4,83.5,5.1,2.7
57,Dobyns - Bennett High,5.0,2090.0,43.0,96.8,87.0,15.7,Public,73.1,89.2,133.0,6.3,86.3,1.8,3.3
58,Donelson Middle,1.0,699.0,75.0,20.4,15.8,16.6,Public,25.7,29.2,42.0,39.3,44.2,2.9,12.2
59,E B Wilson,2.0,53.0,62.0,30.5,5.4,17.6,Public,15.2,36.0,3.0,3.8,90.6,0.0,3.8
60,E. A. Cox Middle School,0.0,760.0,66.0,8.5,15.4,14.6,Public,25.2,14.6,52.0,33.7,50.7,1.4,13.8
61,Eakin Elementary,1.0,640.0,86.0,21.9,22.0,16.0,Public,30.4,29.0,40.0,15.3,40.9,0.9,36.3
62,Eakin Elementary,3.0,577.0,40.0,69.4,78.1,15.1,Public,70.5,64.7,38.0,45.1,38.3,11.8,4.3
63,East End Preparatory School,4.0,383.0,87.0,81.9,,22.5,Public Charter,,75.7,17.0,74.7,8.1,0.5,13.6
64,East Montgomery Elementary,4.0,619.0,24.0,89.6,85.6,14.7,Public,77.7,84.4,42.0,3.1,83.4,1.5,7.9
65,East Side Elementary,1.0,417.0,93.0,16.1,16.1,12.6,Public,24.5,24.4,33.0,15.3,38.4,0.0,38.8
66,Edmondson Elementary,5.0,761.0,2.0,97.4,98.8,16.5,Public,94.4,94.6,46.0,2.8,81.5,7.8,3.0
67,Elzie D Patton Elementary School,4.0,664.0,33.0,81.8,85.2,17.0,Public,77.4,75.0,39.0,1.4,79.2,1.5,7.1
68,Emmett Elementary,2.0,363.0,72.0,49.4,38.2,16.5,Public,43.2,49.3,22.0,0.0,96.7,0.0,2.8
69,Erma Siegel Elementary,4.0,749.0,18.0,82.5,83.5,13.1,Public,75.7,75.7,57.0,13.6,75.0,2.4,4.8
70,Fairmont Elementary,5.0,546.0,50.0,90.3,95.2,15.6,Public,88.5,85.0,35.0,11.5,70.5,1.5,9.5
71,Fairmount Elementary,2.0,532.0,74.0,45.1,40.7,12.9,Public,45.0,46.6,41.0,6.4,86.8,0.0,3.0
72,Fairview Elementary,5.0,467.0,32.0,91.6,88.9,12.9,Public,81.2,86.3,36.0,1.9,88.0,0.2,6.6
73,Fairview High School,2.0,657.0,37.0,46.0,85.3,12.1,Public,71.8,45.0,54.0,1.4,89.6,0.3,5.6
74,Fairview Middle School,4.0,572.0,35.0,79.4,85.5,12.7,Public,75.9,72.5,45.0,1.6,90.9,1.6,4.5
75,Fall-Hamilton Elementary,1.0,327.0,73.0,28.1,14.8,11.6,Public Magnet,23.2,34.8,28.0,64.8,14.1,0.9,18.7
76,Franklin Elementary,4.0,324.0,44.0,87.8,93.2,9.8,Public,85.7,82.5,33.0,20.1,53.4,0.9,19.8
77,Franklin High School,5.0,1747.0,7.0,94.5,96.3,18.5,Public Magnet,89.0,83.7,94.0,2.5,85.2,1.9,6.3
78,Fred J Page High School,5.0,937.0,9.0,90.5,98.7,16.4,Public,94.1,77.1,57.0,2.3,88.7,1.8,3.7
79,Fred J Page Middle School,5.0,1056.0,7.0,98.6,97.7,18.2,Public,90.4,92.0,58.0,2.7,87.4,3.5,2.8
80,Freedom Middle School,4.0,595.0,44.0,83.6,84.8,11.2,Public,75.5,74.8,53.0,15.8,58.2,1.8,20.2
81,Gallatin Senior High School,2.0,1498.0,51.0,32.2,33.4,15.7,Public,42.1,37.9,95.0,20.1,66.3,0.6,11.7
82,Gene W. Brown Elementary,3.0,457.0,45.0,52.2,64.7,12.3,Public,60.7,50.5,37.0,12.7,71.6,2.4,11.4
83,George A Whitten Elementary,2.0,431.0,52.0,33.4,35.9,13.9,Public,42.1,38.8,31.0,13.0,73.1,1.2,11.8
84,Glencliff Elementary,1.0,490.0,86.0,11.7,4.2,14.0,Public,8.3,18.5,35.0,9.4,26.3,1.0,61.2
85,Glencliff High School,1.0,1485.0,85.0,10.9,11.7,17.0,Public,24.3,14.7,87.0,26.4,23.4,5.2,44.3
86,Glendale Elementary,5.0,434.0,6.0,99.2,97.8,16.6,Public Magnet,93.6,97.4,26.0,4.1,86.9,1.8,5.1
87,Glenellen Elementary,4.0,1019.0,48.0,76.0,73.9,14.3,Public,67.7,70.3,71.0,22.3,56.3,1.0,11.4
88,Glengarry Elementary,0.0,472.0,93.0,1.9,10.2,15.7,Public,15.4,6.0,30.0,17.6,23.7,1.7,56.1
89,Glenn Elementary,0.0,181.0,88.0,4.2,8.9,10.0,Public Magnet,14.3,8.8,18.0,91.7,5.5,0.0,2.8
90,Glenview Elementary,0.0,798.0,87.0,4.6,9.8,14.5,Public,14.9,9.1,55.0,13.5,37.7,0.6,47.4
91,Goodlettsville Elementary,1.0,387.0,72.0,14.3,18.5,12.9,Public,26.7,21.7,30.0,36.4,43.4,3.4,11.6
92,Goodlettsville Middle,0.0,487.0,84.0,8.7,16.6,17.3,Public Magnet,26.5,14.9,28.0,46.4,32.6,2.5,15.2
93,Gower Elementary,2.0,706.0,48.0,49.6,65.9,14.1,Public,61.8,49.4,50.0,20.8,55.8,7.8,12.6
94,Gra-Mar Middle,0.0,406.0,90.0,2.4,3.7,15.0,Public,6.8,5.8,27.0,74.1,14.5,1.0,8.1
95,Granbery Elementary,5.0,742.0,43.0,89.9,91.0,17.2,Public,83.6,84.8,43.0,16.6,59.7,9.7,11.6
96,Grassland Elementary,5.0,518.0,4.0,97.7,96.5,15.2,Public,90.7,95.0,34.0,4.4,88.2,2.3,3.3
97,Grassland Middle School,5.0,921.0,5.0,97.6,97.3,17.0,Public,89.9,91.5,54.0,1.5,90.1,2.9,2.9
98,Guild Elementary,4.0,675.0,63.0,74.8,62.0,14.6,Public,58.2,69.1,46.0,21.8,59.1,1.5,14.8
99,H. G. Hill Middle,2.0,607.0,76.0,37.2,44.5,16.8,Public,49.0,42.3,36.0,24.5,45.1,10.7,18.9
100,Happy Valley Elementary,4.0,557.0,73.0,76.1,65.1,15.4,Public,61.1,70.8,36.0,2.3,89.8,0.2,4.5
101,Harold B. Williams Elementary School,4.0,662.0,27.0,89.8,82.7,14.7,Public,74.8,84.7,45.0,2.6,92.1,1.2,2.6
102,Harpeth Valley Elementary,5.0,763.0,26.0,91.9,95.7,15.8,Public,89.4,86.7,48.0,11.0,77.6,7.3,2.4
103,Harris Middle School,2.0,986.0,82.0,32.2,26.2,19.3,Public,36.7,38.0,51.0,15.9,48.4,1.0,30.6
104,Hattie Cotton Elementary,0.0,422.0,76.0,5.2,3.1,12.7,Public Magnet,6.6,10.5,33.0,64.0,19.0,1.2,13.7
105,Haynes Middle,0.0,272.0,82.0,6.7,5.1,16.0,Public,11.3,11.7,17.0,97.4,1.1,0.7,0.7
106,Haynesfield Elementary,4.0,397.0,41.0,88.6,89.7,18.0,Public,81.7,83.2,22.0,0.8,91.2,0.8,3.0
107,Haywood Elementary,0.0,842.0,94.0,7.0,6.1,14.2,Public,11.3,12.1,59.0,11.3,14.5,12.5,61.3
